Bakery
1	1200	1480	870		1600	5150	4	1[2]	1[2]	1	1:01:20	5%
2	2160	2665	1565	2880	9270	2	1[4]	1[4]	1	1:52:00	10%
3	3890	4795	2820	5185	16690	2	1[6]	1[7]	2	3:08:00	15%
4	7000	8630	5075	9330	30035	2	1[9]	1[9]	2	5:02:00	20%
5	12595	15535	9135	16795	54060	2	1[12]	1[12]	2	7:53:00	25%

Brickyard
1	440	480	320	50	1290	3	1[0]	1[0]	1	0:47:20	5%
2	790	865	575	90	2320	2	1[1]	1[0]	1	1:31:00	10%
3	1425	1555	1035	160	4175	2	1[2]	1[0]	2	2:36:30	15%
4	2565	2800	1865	290	7520	2	1[4]	1[0]	2	4:14:50	20%
5	4620	5040	3360	525	13545	2	1[7]	1[0]	2	6:42:10	25%

Clay Pit
1	80	40	80	50	250	2	1[0]	1[0]	1	0:03:40	7
2	135	65	135	85	420	1	1[0]	1[0]	1	0:09:10	13
3	225	110	225	140	700	1	1[0]	1[0]	2	0:18:00	21
4	375	185	375	235	1170	1	1[0]	1[0]	2	0:32:10	31
5	620	310	620	390	1940	1	1[0]	1[0]	2	0:54:50	46
6	1040	520	1040	650	3250	2	1[1]	1[0]	3	1:31:10	70
7	1735	870	1735	1085	5425	2	1[3]	1[1]	4	2:29:10	98
8	2900	1450	2900	1810	9060	2	1[4]	1[3]	4	4:02:00	140
9	4840	2420	4840	3025	15125	2	1[6]	1[4]	5	6:30:30	203
10	8080	4040	8080	5050	25250	2	1[9]	1[7]	6	10:28:10	280
11	13500	6750	13500	8435	42185	2	1[11]	1[9]	7	16:48:30	392
12	22540	11270	22540	14090	70440	2	1[14]	1[11]	9	26:56:50	525
13	37645	18820	37645	23525	117635	2	1[16]	1[14]	11	43:10:20	693
14	62865	31430	62865	39290	196450	2	1[19]	1[17]	13	69:07:50	889
15	104985	52490	104985	65615	328075	2	2[14]	1[19]	15	110:39:50	1120
16	175320	87660	175320	109575	547875	3	3[12]	2[15]	18	177:07:00	1400
17	292790	146395	292790	182995	914970	3	4[18]	3[14]	22	283:26:30	1820
18	488955	244480	488955	305600	1527990	3	7[9]	4[19]	27	453:33:40	2240
19	816555	408280	816555	510350	2551740	3	11[12]	7[15]	32	725:45:10	2800
20	1363650	681825	1363650	852280	4261405	3	18[5]	11[18]	38	1161:15:40	3430
21	2277295	1138650	2277295	1423310	7116550	3	29[16]	18[19]	46	1858:04:20	4270

Cropland
1	70	90	70	20	250	0	1[0]	1[0]	1	0:02:30	7
2	115	150	115	35	415	0	1[0]	1[0]	1	0:07:20	13
3	195	250	195	55	695	0	1[0]	1[0]	2	0:15:00	21
4	325	420	325	95	1165	0	1[0]	1[0]	2	0:27:30	31
5	545	700	545	155	1945	0	1[0]	1[0]	2	0:47:10	46
6	910	1170	910	260	3250	1	1[1]	1[0]	3	1:18:50	70
7	1520	1950	1520	435	5425	1	1[3]	1[0]	4	2:09:40	98
8	2535	3260	2535	725	9055	1	1[5]	1[0]	4	3:30:40	140
9	4235	5445	4235	1210	15125	1	1[7]	1[2]	5	5:40:30	203
10	7070	9095	7070	2020	25255	1	1[9]	1[3]	6	9:08:00	280
